symbol,date,price
BISHOP,Jul-14,42
BISHOP,Aug-14,19
BISHOP,Sep-14,92
BISHOP,Oct-14,91
BISHOP,Nov-14,24
BISHOP,Dec-14,49
BISHOP,Jan-15,87
BISHOP,Jan-15,87
BISHOP,Feb-15,53
BISHOP,Mar-15,62
BISHOP,Apr-15,109
BISHOP,May-15,165
BISHOP,Jun-15,114
BISHOP,Jul-15,101
BISHOP,Aug-15,134
BISHOP,Sep-15,90
BISHOP,Oct-15,129
BISHOP,Nov-15,75
BISHOP,Dec-15,126
BISHOP,Jan-16,160
BISHOP,Feb-16,101
BISHOP,Mar-16,76
BISHOP,Apr-16,65
BISHOP,May-16,129
BISHOP,Jun-16,109
BISHOP,Jul-16,114
BISHOP,Aug-16,127
BISHOP,Sep-16,58
BISHOP,Oct-16,88
BISHOP,Nov-16,79
BISHOP,Dec-16,94
BISHOP,Jan-17,133
BISHOP,Feb-17,28
BISHOP,Mar-17,34
BISHOP,Apr-17,50
BISHOP,May-17,100
BISHOP,Jun-17,103
COLISEUM E,Jul-14,4
COLISEUM E,Aug-14,56
COLISEUM E,Sep-14,209
COLISEUM E,Oct-14,115
COLISEUM E,Nov-14,67
COLISEUM E,Dec-14,115
COLISEUM E,Jan-15,283
COLISEUM E,Feb-15,92
COLISEUM E,Mar-15,70
COLISEUM E,Apr-15,70
COLISEUM E,May-15,227
COLISEUM E,Jun-15,220
COLISEUM E,Jul-15,145
COLISEUM E,Aug-15,189
COLISEUM E,Sep-15,229
COLISEUM E,Oct-15,215
COLISEUM E,Nov-15,115
COLISEUM E,Dec-15,94
COLISEUM E,Jan-16,179
COLISEUM E,Feb-16,86
COLISEUM E,Mar-16,64
COLISEUM E,Apr-16,159
COLISEUM E,May-16,91
COLISEUM E,Jun-16,196
COLISEUM E,Jul-16,205
COLISEUM E,Aug-16,236
COLISEUM E,Sep-16,119
COLISEUM E,Oct-16,104
COLISEUM E,Nov-16,79
COLISEUM E,Dec-16,52
COLISEUM E,Jan-17,139
COLISEUM E,Feb-17,53
COLISEUM E,Mar-17,53
COLISEUM E,Apr-17,40
COLISEUM E,May-17,98
COLISEUM E,Jun-17,97
CROSBY R,Jul-14,23
CROSBY R,Aug-14,69
CROSBY R,Sep-14,291
CROSBY R,Oct-14,109
CROSBY R,Nov-14,58
CROSBY R,Dec-14,27
CROSBY R,Jan-15,79
CROSBY R,Feb-15,60
CROSBY R,Mar-15,48
CROSBY R,Apr-15,77
CROSBY R,May-15,15
CROSBY R,Jun-15,35
CROSBY R,Jul-15,5
CROSBY R,Aug-15,232
CROSBY R,Sep-15,286
CROSBY R,Oct-15,333
CROSBY R,Nov-15,164
CROSBY R,Dec-15,76
CROSBY R,Jan-16,133
CROSBY R,Feb-16,219
CROSBY R,Mar-16,144
CROSBY R,Apr-16,197
CROSBY R,May-16,53
CROSBY R,Jun-16,4
CROSBY R,Aug-16,188
CROSBY R,Sep-16,237
CROSBY R,Oct-16,343
CROSBY R,Nov-16,260
CROSBY R,Dec-16,77
CROSBY R,Jan-17,137
CROSBY R,Feb-17,225
CROSBY R,Mar-17,127
CROSBY R,Apr-17,97
CROSBY R,May-17,80
CROSBY R,Jun-17,19
JAC,Jul-14,5
JAC,Aug-14,25
JAC,Sep-14,363
JAC,Oct-14,442
JAC,Nov-14,142
JAC,Dec-14,28
JAC,Jan-15,347
JAC,Feb-15,557
JAC,Mar-15,384
JAC,Apr-15,73
JAC,May-15,7
JAC,Aug-15,219
JAC,Sep-15,1083
JAC,Oct-15,716
JAC,Nov-15,338
JAC,Dec-15,266
JAC,Jan-16,177
JAC,Feb-16,648
JAC,Mar-16,220
JAC,Apr-16,1031
JAC,May-16,208
JAC,Jun-16,2
JAC,Aug-16,263
JAC,Sep-16,1171
JAC,Oct-16,326
JAC,Nov-16,221
JAC,Dec-16,156
JAC,Jan-17,199
JAC,Feb-17,296
JAC,Mar-17,291
JAC,Apr-17,186
JAC,May-17,146
JAC,Jun-17,6
MAGNOLIA DR,Jul-14,68
MAGNOLIA DR,Aug-14,13
MAGNOLIA DR,Sep-14,96
MAGNOLIA DR,Oct-14,83
MAGNOLIA DR,Nov-14,51
MAGNOLIA DR,Dec-14,71
MAGNOLIA DR,Jan-15,94
MAGNOLIA DR,Feb-15,33
MAGNOLIA DR,Mar-15,54
MAGNOLIA DR,Apr-15,91
MAGNOLIA DR,May-15,140
MAGNOLIA DR,Jun-15,99
MAGNOLIA DR,Jul-15,90
MAGNOLIA DR,Aug-15,110
MAGNOLIA DR,Sep-15,151
MAGNOLIA DR,Oct-15,215
MAGNOLIA DR,Nov-15,79
MAGNOLIA DR,Dec-15,92
MAGNOLIA DR,Jan-16,191
MAGNOLIA DR,Feb-16,83
MAGNOLIA DR,Mar-16,104
MAGNOLIA DR,Apr-16,57
MAGNOLIA DR,May-16,132
MAGNOLIA DR,Jun-16,203
MAGNOLIA DR,Jul-16,207
MAGNOLIA DR,Aug-16,196
MAGNOLIA DR,Sep-16,82
MAGNOLIA DR,Oct-16,111
MAGNOLIA DR,Nov-16,64
MAGNOLIA DR,Dec-16,49
MAGNOLIA DR,Jan-17,167
MAGNOLIA DR,Feb-17,55
MAGNOLIA DR,Mar-17,52
MAGNOLIA DR,Apr-17,57
MAGNOLIA DR,May-17,144
MAGNOLIA DR,Jun-17,129
MEEK,Jul-14,105
MEEK,Aug-14,21
MEEK,Sep-14,30
MEEK,Oct-14,70
MEEK,Nov-14,67
MEEK,Dec-14,86
MEEK,Jan-15,230
MEEK,Feb-15,84
MEEK,Mar-15,89
MEEK,Apr-15,78
MEEK,May-15,168
MEEK,Jun-15,91
MEEK,Jul-15,98
MEEK,Aug-15,67
MEEK,Sep-15,54
MEEK,Oct-15,64
MEEK,Nov-15,30
MEEK,Dec-15,105
MEEK,Jan-16,135
MEEK,Feb-16,74
MEEK,Mar-16,65
MEEK,Apr-16,51
MEEK,May-16,116
MEEK,Jun-16,105
MEEK,Jul-16,125
MEEK,Aug-16,111
MEEK,Sep-16,35
MEEK,Oct-16,62
MEEK,Nov-16,95
MEEK,Dec-16,52
MEEK,Jan-17,136
MEEK,Feb-17,60
MEEK,Mar-17,69
MEEK,Apr-17,96
MEEK,May-17,172
MEEK,Jun-17,135
MANNING  E,Aug-14,3
MANNING  E,Sep-14,118
MANNING  E,Oct-14,136
MANNING  E,Nov-14,138
MANNING  E,Dec-14,55
MANNING  E,Jan-15,32
MANNING  E,Feb-15,132
MANNING  E,Mar-15,114
MANNING  E,Apr-15,79
MANNING  E,May-15,93
MANNING  E,Jun-15,82
MANNING  E,Jul-15,184
MANNING  E,Aug-15,150
MANNING  E,Sep-15,24
MANNING  E,Oct-15,87
MANNING  E,Nov-15,292
MANNING  E,Dec-15,125
MANNING  E,Jan-16,158
MANNING  E,Feb-16,87
MANNING  E,Mar-16,147
MANNING  E,Apr-16,127
MANNING  E,May-16,78
MANNING  E,Jun-16,187
MANNING  E,Jul-16,227
MANNING  E,Aug-16,58
MANNING  E,Sep-16,95
MANNING  E,Oct-16,119
MANNING  E,Nov-16,59
MANNING  E,Dec-16,54
MANNING  E,Jan-17,84
MANNING  E,Feb-17,89
MANNING  E,Mar-17,49
MANNING  E,Apr-17,63
MANNING  E,May-17,53
MANNING  E,Jun-17,167
POOLE DR,Jul-14,67
POOLE DR,Aug-14,35
POOLE DR,Sep-14,86
POOLE DR,Oct-14,206
POOLE DR,Nov-14,166
POOLE DR,Dec-14,71
POOLE DR,Jan-15,42
POOLE DR,Feb-15,92
POOLE DR,Mar-15,77
POOLE DR,Apr-15,53
POOLE DR,May-15,26
POOLE DR,Jun-15,63
POOLE DR,Jul-15,66
POOLE DR,Aug-15,91
POOLE DR,Sep-15,177
POOLE DR,Oct-15,232
POOLE DR,Nov-15,127
POOLE DR,Dec-15,79
POOLE DR,Jan-16,93
POOLE DR,Feb-16,109
POOLE DR,Mar-16,115
POOLE DR,Apr-16,189
POOLE DR,May-16,86
POOLE DR,Jun-16,24
POOLE DR,Jul-16,44
POOLE DR,Aug-16,145
POOLE DR,Sep-16,94
POOLE DR,Oct-16,57
POOLE DR,Nov-16,56
POOLE DR,Dec-16,41
POOLE DR,Jan-17,74
POOLE DR,Feb-17,159
POOLE DR,Mar-17,92
POOLE DR,Apr-17,57
POOLE DR,May-17,67
POOLE DR,Jun-17,41
RC-AL Dr,Jul-14,1
RC-AL Dr,Aug-14,41
RC-AL Dr,Sep-14,212
RC-AL Dr,Oct-14,172
RC-AL Dr,Nov-14,118
RC-AL Dr,Dec-14,57
RC-AL Dr,Jan-15,34
RC-AL Dr,Feb-15,110
RC-AL Dr,Mar-15,105
RC-AL Dr,Apr-15,93
RC-AL Dr,May-15,45
RC-AL Dr,Jun-15,15
RC-AL Dr,Jul-15,6
RC-AL Dr,Aug-15,36
RC-AL Dr,Sep-15,190
RC-AL Dr,Oct-15,248
RC-AL Dr,Nov-15,145
RC-AL Dr,Dec-15,30
RC-AL Dr,Jan-16,65
RC-AL Dr,Feb-16,152
RC-AL Dr,Mar-16,197
